collection__uuid,artifact__title,artifact__summary,artifact__type,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__people__author,artifact__people__editor,file__url,file__language,file__pages
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to Essential Services Commission re payment difficulty framework new draft decision,,report,2017-06-01,,,http://library.bsl.org.au/showitem.php?handle=1/9801,,,http://library.bsl.org.au/showitem.php?handle=1/9801,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Response to Senate Inquiry into delivery of outcomes under the National Disability Strategy 2010–2020,,report,2017-04-01,,,http://library.bsl.org.au/showitem.php?handle=1/9843,,,http://library.bsl.org.au/showitem.php?handle=1/9843,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Home Energy Efficiency Upgrade Program final report,"Installing an efficient hot water system might reduce energy usage costs and greenhouse gas emissions, but may be too expensive or too daunting for low-income households.",report,,2017,,https://www.bsl.org.au/research/publications/home-energy-efficiency-upgrade-program-final-report/,Damian Sullivan with others,,http://library.bsl.org.au/showitem.php?handle=1/10184,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Basic income: trade-offs and bottom lines,"In a changing employment and budgetary context, there is renewed interest in the concept of a basic income – a form of social security in which individuals receive a regular, often unconditional payment from either government or a public institution.",report,,2017,,https://www.bsl.org.au/research/publications/basic-income-trade-offs-and-bottom-lines/,"Dina Bowman, Shelley Mallett|Diarmuid Cooney-O’Donoghue, June",,,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,"Empowering disadvantaged households to access affordable, clean energy","Action is needed to provide all Australians with access to affordable, reliable and clean energy—dubbed the ‘energy trilemma’.",report,,2017,,https://www.bsl.org.au/research/publications/empowering-disadvantaged-households-to-access-affordable-clean-energy/,"ACOSS, Brotherhood of St. Laurence|The Climate Institute",,http://library.bsl.org.au/showitem.php?handle=1/10181,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,"Organisational levels, strategies and design in the regulation of dementia care","A new study explores organisational responses to regulation in dementia care, in terms of their strategies, management levels and facility design.",report,,2017,,https://www.bsl.org.au/research/publications/organisational-levels-strategies-and-design-in-the-regulation-of-dementia-care/,Simon Biggs|Ashley Carr,,http://library.bsl.org.au/showitem.php?handle=1/9479,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Giving asylum seekers a chance,What is needed to overcome the disadvantage faced by asylum seekers when competing in the labour market?,report,,2017,,https://www.bsl.org.au/research/publications/giving-asylum-seekers-a-chance/,John van Kooy|Agathe Randrianarisoa,,http://library.bsl.org.au/showitem.php?handle=1/10187,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Education first: submission to the Standing Committee on Legal and Social Issues of the Victorian Parliament Inquiry into Youth Justice Centres,,report,2017-04-01,,,http://library.bsl.org.au/showitem.php?handle=1/9434,,,http://library.bsl.org.au/showitem.php?handle=1/9434,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission in response to the Department of Social Services’ Financial Wellbeing and Capability discussion paper,,report,2017-03-01,,,http://library.bsl.org.au/showitem.php?handle=1/9426,,,http://library.bsl.org.au/showitem.php?handle=1/9426,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to the review of retail electricity and gas markets in Victoria,,report,2017-03-01,,,http://library.bsl.org.au/showitem.php?handle=1/9408,,,http://library.bsl.org.au/showitem.php?handle=1/9408,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,A better life: submission to Joint Standing Committee Inquiry into Migrant Settlement Outcomes,,report,2017-03-01,,,http://library.bsl.org.au/showitem.php?handle=1/9407,,,http://library.bsl.org.au/showitem.php?handle=1/9407,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission re Social Services Legislation Amendment (Omnibus Savings and Child Care Reform) Bill 2017,,report,2017-03-01,,,http://library.bsl.org.au/showitem.php?handle=1/9392,,,http://library.bsl.org.au/showitem.php?handle=1/9392,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Reforms to human services: response to the Productivity Commission,,report,2017-02-01,,,http://library.bsl.org.au/showitem.php?handle=1/9385,,,http://library.bsl.org.au/showitem.php?handle=1/9385,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,"Generation stalled: young, underemployed and living precariously in Australia","More than 650,000 young Australians were either unemployed or underemployed in February 2017, according to our research for the March 2017 Youth Unemployment Monitor.",report,,2017,,https://www.bsl.org.au/research/publications/generation-stalled-young-underemployed/,Brotherhood of St. Laurence,,http://library.bsl.org.au/showitem.php?handle=1/9409,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Community attitudes to education in the Colac Otway Shire,School retention and attainment rates in regional and rural Australia tend to be lower than in metropolitan areas.,report,,2017,,https://www.bsl.org.au/research/publications/community-attitudes-to-education-in-the-colac-otway-shire/,George Myconos|Angela McKenna,,http://library.bsl.org.au/showitem.php?handle=1/9375,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Paying attention to the future: piloting the Certificate 1 in Developing Independence in out-of-home care settings,This study examined stage 1 of a pilot program to help prepare young people in out-of-home care to navigate the transitions to an independent young adulthood.,report,,2017,,https://www.bsl.org.au/research/publications/paying-attention-to-the-future-piloting-the-certificate-1-in-developing-independence-in-out-of-home-care-settings/,"Aaron Hart, Joseph Borlagdan|Shelley Mallett",,http://library.bsl.org.au/showitem.php?handle=1/9391,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Understanding financial wellbeing in times of insecurity,"Financial wellbeing as a concept has become popular in the fields of social policy, service delivery and personal financial products. This working paper traces the development of the concept.",report,,2017,,https://www.bsl.org.au/research/publications/understanding-financial-wellbeing-in-times-of-insecurity/,"Dina Bowman, Marcus Banks, Geraldine Fela, Roslyn Russell|Ashton de Silva",,http://library.bsl.org.au/showitem.php?handle=1/9423,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Response to the Review of the Residential Tenancies Act options discussion paper,,report,2017-02-01,,,https://www.bsl.org.au/research/publications/response-to-the-review-of-the-residential-tenancies-act-options-discussion-paper/,,,https://www.bsl.org.au/research/publications/response-to-the-review-of-the-residential-tenancies-act-options-discussion-paper/,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Brotherhood of St Laurence response to the Aged Care Legislated Review,,report,2016-12-01,,,http://library.bsl.org.au/showitem.php?handle=1/9362,,,http://library.bsl.org.au/showitem.php?handle=1/9362,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to the Inquiry on freedom of speech in Australia and the Racial Discrimination Act 1975,,report,2016-12-01,,,http://library.bsl.org.au/jspui/bitstream/1/9363/1/BSL_sub_freedom_of_speech_and_Racial_Discrimination_Act_18c_Dec2016.pdf,,,http://library.bsl.org.au/jspui/bitstream/1/9363/1/BSL_sub_freedom_of_speech_and_Racial_Discrimination_Act_18c_Dec2016.pdf,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Response to Safety net for Victorian energy consumers facing payment difficulties draft decision,,report,2016-11-01,,,http://library.bsl.org.au/showitem.php?handle=1/9355,,,http://library.bsl.org.au/showitem.php?handle=1/9355,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,"Submission to Senate inquiry into Social Service Legislation Amendment (Youth Jobs Path: Prepare, Trial, Hire) Bill 2016",,report,2016-11-01,,,http://library.bsl.org.au/showitem.php?handle=1/9348,,,http://library.bsl.org.au/showitem.php?handle=1/9348,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Response to Victoria's draft 30-year infrastructure strategy,,report,2016-10-01,,,http://library.bsl.org.au/showitem.php?handle=1/9349,,,http://library.bsl.org.au/showitem.php?handle=1/9349,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,U-turn: the transport woes of Australia’s young jobseekers,"Youth unemployment is concentrated in regional areas and fast-growing outer suburbs, where public transport options are limited, according to research for the Youth Unemployment Monitor November 2016.",report,,2016,,https://www.bsl.org.au/research/publications/u-turn-transport-woes-of-young-jobseekers/,Brotherhood of St. Laurence,,http://library.bsl.org.au/showitem.php?handle=1/9347,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Exploring regulatory clusters in dementia care,Aged and dementia care services are required to conform to multiple regulatory frameworks. Mapping these reveals regulatory clusters.,report,,2016,,https://www.bsl.org.au/research/publications/exploring-regulatory-clusters-in-dementia-care/,Simon Biggs|Ashley Carr,,http://library.bsl.org.au/showitem.php?handle=1/9239,,
