artifact__title,artifact__summary,artifact__type,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__publication_place,artifact__publisher,artifact__tags,collection__uuid,file__content_type,file__name,file__media_type,file__uuid,file__url,file__language,file__fulltext_s3_url,file__fulltext_paginated_s3_url,file__toc,file__viewer_settings,file__size,file__pages,file__key_terms,file__file_hash,artifact__people_author,atrifact__doi
"
          Supplier and Control Area Performance Monitoring System: Utilization of Grid-3P for Automatic Generation Control (AGC), Frequency Response Reserves (FRR) and Ancillary Services (AS) Regulation        ",,report,,2003,,https://eta-publications.lbl.gov/publications/supplier-and-control-area-performance,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/supplier-control-perform-monitor-sys.pdf,,,,,,,,,,Carlos A Martinez|Jim  Dyer|Mark  Skowronski,
"
          Summary and Early Findings from a Second Generation Information Monitoring and Diagnostic System        ",,conference-paper,,2003,,https://eta-publications.lbl.gov/publications/summary-and-early-findings-second,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/53476.pdf,,,,,,,,,,Mary Ann  Piette|Satkartar  Kinney|Norman  Bourassa|Kristopher L Kinney|Christine  Shockman,
"
          Who Should Administer Energy Efficiency Programs?        ",,article,,2003,,https://eta-publications.lbl.gov/publications/who-should-administer-energy,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-53597.pdf,,,,,,,,,,Carl  Blumstein|Charles A Goldman|Galen L Barbose,
"
          Web-Based Energy Information Systems for Energy Management and Demand Response in Commercial Buildings        ",,report,,2003,,https://eta-publications.lbl.gov/publications/web-based-energy-information-0,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/52510.pdf,,,,,,,,,,Naoya  Motegi|Mary Ann  Piette|Satkartar  Kinney|Karen  Herter,
"
          Voluntary Agreements for Increasing Energy-Efficiency in Industry: Case Study of a Pilot Project with the Steel Industry in Shandong Province, China        ",,conference-paper,,2003,,https://eta-publications.lbl.gov/publications/voluntary-agreements-increasing,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/aceeeva-shandong-steeljuly-2003.pdf,,,,,,,,,,Lynn K Price|Jiang  Yun,
"
          Assessment of μGrid Distributed Energy Resource Potential Using DER-CAM and GIS        ",,report,,2002,,https://eta-publications.lbl.gov/publications/assessment-grid-distributed-energy,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/report-lbnl-50132.pdf,,,,,,,,,,Jennifer L Edwards|Chris  Marnay|Emily S Bartholomew|Boubékeur  Ouaglal|Afzal S Siddiqui|Kristina Hamachi LaCommare,
"
          Assessing U.S. ESCO Industry: Results from the NAESCO Database Project        ",,report,,2002,,https://eta-publications.lbl.gov/publications/assessing-us-esco-industry-results,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-50304.pdf,,,,,,,,,,Julie G Osborn|Charles A Goldman|Terry E Singer|Nicole C Hopper,
"
          Conservation in California During the Summer of 2001        ",,report,,2002,,https://eta-publications.lbl.gov/publications/conservation-california-during-summer,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/report-lbnl-51477.pdf,,,,,,,,,,Emily S Bartholomew|Robert D Van Buskirk|Chris  Marnay,
"
          Conservation in California During the Summer of 2001        ",,report,,2002,,https://eta-publications.lbl.gov/publications/conservation-california-during-0,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/conservation_in_california_during_the_summer_of_2001_lbnl-51477.pdf,,,,,,,,,,Emily S Bartholomew|Robert D Van Buskirk|Chris  Marnay,
"
          Configuring Load as a Resource for Competitive Electricity Markets - Review of the Demand Response Programs in the U.S. and Around the World        ",,report,,2002,,https://eta-publications.lbl.gov/publications/configuring-load-resource-competitive,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/report-lbnl-51496.pdf,,,,,,,,,,Grayson C Heffner,
"
          A Computer Simulation Appraisal of Non-Residential Low Energy Cooling Systems in California        ",,conference-paper,,2002,,https://eta-publications.lbl.gov/publications/computer-simulation-appraisal-non,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/50677.pdf,,,,,,,,,,Norman  Bourassa|Philip  Haves|Yu Joe Huang,
"
          Early Lessons from Deployment of IFC Compatible Software        ",,conference-paper,,2002,,https://eta-publications.lbl.gov/publications/early-lessons-deployment-ifc,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/51548.pdf,,,,,,,,,,Vladimir  Bazjanac,
"
          Early evaluation of a second generation information monitoring and diagnostic system        ",,report,,2002,,https://eta-publications.lbl.gov/publications/early-evaluation-second-generation,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-53526.pdf,,,,,,,,,,Mary Ann  Piette|Satkartar  Kinney|Norman  Bourassa|Peng  Xu|Philip  Haves|Christine  Shockman,
"
          Do Indoor Environments in Schools Influence Student Performance? A Review of the Literature        ",,proceedings,,2002,,https://eta-publications.lbl.gov/publications/do-indoor-environments-schools,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-49567.pdf,,,,,,,,,,Garvin A Heath|Mark J Mendell,
"
          Do ""Enabling Technologies"" Affect Customer Performance in Price-Responsive Load Programs?        ",,conference-paper,,2002,,https://eta-publications.lbl.gov/publications/do-enabling-technologies-affect,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-50328.pdf,,,,,,,,,,Charles A Goldman|Michael  Kintner-Meyer|Grayson C Heffner,
"
          Dimming Every Light Cheaply        ",,conference-paper,,2002,,https://eta-publications.lbl.gov/publications/dimming-every-light-cheaply,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-49975.pdf,,,,,,,,,,Francis M Rubinstein|Pete  Pettler|Judy D Jennings,
"
          Energy-related indoor environmental quality research: A priority agenda        ",,report,,2002,,https://eta-publications.lbl.gov/publications/energy-related-indoor-environmental,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-51328.pdf,,,,,,,,,,William J Fisk|Gail  Brager|Harriet A Burge|James B Cummings|Hal  Levin|Vivian  Loftness|Mark J Mendell|Andrew K Persily|Steven T Taylor|Jianshun  Zhang,
"
          Energy-Efficient Appliance Labeling in China: Lessons for Successful Labeling Programs in Varied Markets        ",,conference-paper,,2002,,https://eta-publications.lbl.gov/publications/energy-efficient-appliance-labeling,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl50416.pdf,,,,,,,,,,Jiang  Lin|Jeanne  Townend|David  Fridley|Tony  Silva|Robin  Clark,
"
          Energy Use and Power Levels in New Monitors and Personal Computers        ",,report,,2002,,https://eta-publications.lbl.gov/publications/energy-use-and-power-levels-new,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-48581.pdf,,,,,,,,,,Judy A Roberson|Gregory K Homan|Akshay  Mahajan|Bruce  Nordman|Carrie A Webber|Richard E Brown|Marla C McWhinney|Jonathan G Koomey,
"
          Future Advanced Windows for Zero-Energy Homes        ",,conference-paper,,2002,,https://eta-publications.lbl.gov/publications/future-advanced-windows-zero-energy,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/51913.pdf,,,,,,,,,,Joshua S Apte|Dariush K Arasteh|Yu Joe Huang,
"
          From Design Through Operations-Results from New Construction Performance Contract and Beyond        ",,conference-paper,,2002,,https://eta-publications.lbl.gov/publications/design-through-operations-results-new,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-50738.pdf,,,,,,,,,,Naoya  Motegi|Mary Ann  Piette|Scott  Wentworth,
"
          Indoor Particles and Symptoms Among Office Workers: Results from a Double-Blind Cross-Over Study        ",,article,,2002,,https://eta-publications.lbl.gov/publications/indoor-particles-and-symptoms-among,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-48217.pdf,,,,,,,,,,Mark J Mendell|William J Fisk|Marty R Petersen|Cynthia J Hines|Maxia  Dong|David  Faulkner|James A Deddens|Avima M Ruder|Douglas P Sullivan|Mark F Boeniger,
"
          LEDs - An Overview of the State of the Art in Technology and Application        ",,conference-paper,,2002,,https://eta-publications.lbl.gov/publications/leds-overview-state-art-technology,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/49742.pdf,,,,,,,,,,Stephen G Johnson,
"
          Large historical changes of fossil-fuel black carbon aerosols        ",,article,,2002,,https://eta-publications.lbl.gov/publications/large-historical-changes-fossil-fuel,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-50881.pdf,,,,,,,,,,Tihomir  Novakov|Veerabhadran  Ramanathan|Thomas W Kirchstetter|Jonathan E Sinton|Jayant A Sathaye|James E Hansen,https://dx.doi.org/10.1029/2002GL016345
"
          Laboratory Low-Pressure Drop Design        ",,article,,2002,,https://eta-publications.lbl.gov/publications/laboratory-low-pressure-drop-design,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/49364.pdf,,,,,,,,,,John  Weale|Peter  Rumsey|Dale A Sartor|Eng Lock Lee,
"
          Modeling Transient Contaminant Transport in HVAC Systems and Buildings        ",,conference-paper,,2002,,https://eta-publications.lbl.gov/publications/modeling-transient-contaminant,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-49603.pdf,,,,,,,,,,Clifford C Federspiel|Huilin  Li|David M Auslander|David M Lorenzetti|Ashok J Gadgil,
"
          Modeling Particle Deposition on HVAC Heat Exchangers        ",,conference-paper,,2002,,https://eta-publications.lbl.gov/publications/modeling-particle-deposition-hvac,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-49339.pdf,,,,,,,,,,Jeffrey A Siegel|William W Nazaroff,
"
          Modeling Particle Deposition In Ventilation Ducts        ",,conference-paper,,2002,,https://eta-publications.lbl.gov/publications/modeling-particle-deposition,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/42710.pdf,,,,,,,,,,Mark R Sippola|William W Nazaroff,
"
          A pilot study of the  behavior of gas- and particle-phase ETS tracers in residences        ",,proceedings,,2002,,https://eta-publications.lbl.gov/publications/pilot-study-behavior-gas-and-particle,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-49585.pdf,,,,,,,,,,Michael G Apte|Lara A Gundel|Raymond L Dod|Gee-Minn  Chang|Richard G Sextro,
"
          RESEM-CA: Validation and testing        ",,report,,2002,,https://eta-publications.lbl.gov/publications/resem-ca-validation-and-testing,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-52003.pdf,,,,,,,,,,Vineeta  Pal|William L Carroll|Norman  Bourassa,
"
          Renewable Energy Loan Programs        ",,case-study,,2002,,https://eta-publications.lbl.gov/publications/renewable-energy-loan-programs,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/case-stuy-re-loan-prg.pdf,,,,,,,,,,Mark  Bolinger|Kevin  Porter,
"
          Relationship of SBS-Symptoms and Ventilation System Type in Office Buildings        ",,conference-paper,,2002,,https://eta-publications.lbl.gov/publications/relationship-sbs-symptoms-and,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-50046.pdf,,,,,,,,,,Olli  Seppänen|William J Fisk,
"
          Realized and Prospective Impacts of U.S. Energy Efficiency Standards for Residential Appliances        ",,report,,2002,,https://eta-publications.lbl.gov/publications/realized-and-prospective-impacts-us,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/realized_and_prospective_impacts_of_us_energy_efficiency_standards_for_residential_appliances_lbnl-49504.pdf,,,,,,,,,,Stephen  Meyers|James E McMahon|Michael A McNeil|Xiaomin  Liu,
"
          Rates and technologies for mass-market demand response        ",,conference-paper,,2002,,https://eta-publications.lbl.gov/publications/rates-and-technologies-mass-market,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/LBNL-50626.pdf,,,,,,,,,,Karen  Herter|Roger  Levy|John  Wilson|Arthur H Rosenfeld,
"
          Ventilation Efficiencies of a Desk-Edge-Mounted Task Ventilation System        ",,conference-paper,,2002,,https://eta-publications.lbl.gov/publications/ventilation-efficiencies-desk-edge,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-49939.pdf,,,,,,,,,,David  Faulkner|William J Fisk|Douglas P Sullivan|Seung-Min  Lee,
"
          Utility-Scale Renewable Energy Projects: A Survey of Clean Energy Fund Support        ",,report,,2002,,https://eta-publications.lbl.gov/publications/utility-scale-renewable-energy,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/report-lbnl-49667.pdf,,,,,,,,,,Mark  Bolinger|Ryan H Wiser,
"
          Using Bulk Purchase Commitments to Foster Sustained Orderly Development and Commercialization of PV        ",,case-study,,2002,,https://eta-publications.lbl.gov/publications/using-bulk-purchase-commitments,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/case-study-bulk-purchases.pdf,,,,,,,,,,Mark  Bolinger|Kevin  Porter|Ryan H Wiser,
"
          Using Customer Credits to Stimulate Green Power Sales in California, Rhode Island, and New York        ",,case-study,,2002,,https://eta-publications.lbl.gov/publications/using-customer-credits-stimulate,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/case-study-customer-credits.pdf,,,,,,,,,,Ryan H Wiser|Mark  Bolinger,
"
          Use of Low-Interest, Subordinated Debt to Finance a Wind Project in Pennsylvania        ",,case-study,,2002,,https://eta-publications.lbl.gov/publications/use-low-interest-subordinated-debt,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/case-study-subordinated-debt.pdf,,,,,,,,,,Mark  Bolinger,
"
          Understanding the response of commercial and institutional organizations to the California energy crisis        ",,report,,2002,,https://eta-publications.lbl.gov/publications/understanding-response-commercial-and,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-50987.pdf,,,,,,,,,,Loren  Lutzenhiser|Kathryn B Janda|Rick  Kunkle|Christopher T Payne,
"
          The Use of Capital- and Performance-Based Buy-Down Programs for PV in California, Pennsylvania, and Massachusetts        ",,case-study,,2002,,https://eta-publications.lbl.gov/publications/use-capital-and-performance-based-buy,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/case-study-buydowns.pdf,,,,,,,,,,Mark  Bolinger|Ryan H Wiser,
"
          Better IAQ through Integrating Design Tools for the HVAC Industry        ",,conference-paper,,2001,,https://eta-publications.lbl.gov/publications/better-iaq-through-integrating-0,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/48456.pdf,,,,,,,,,,Tuomas  Laine|Risto  Kosonen|Kim  Hagström|Panu  Mustakallio|De-Wei  Yin|Philip  Haves|Qingyan  Chen,
"
          The Berkeley Hood: Development and Commercialization of an Innovative High-Performance Laboratory Fume Hood. Progress Report and Research Status: 1995-2001        ",,report,,2001,,https://eta-publications.lbl.gov/publications/berkeley-hood-development-and,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-48983.pdf,,,,,,,,,,Geoffrey C Bell|Dale A Sartor|Evan  Mills,
"
          Association of Ventilation System Type with SBS symptoms in Office Workers        ",,article,,2001,,https://eta-publications.lbl.gov/publications/association-ventilation-system-type,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-47457.pdf,,,,,,,,,,Olli  Seppänen|William J Fisk,https://dx.doi.org/10.1034/j.1600-0668.2002.01111.x
"
          Comparison of Emerging Diagnostic Tools for Large Commercial HVAC Systems        ",,conference-paper,,2001,,https://eta-publications.lbl.gov/publications/comparison-emerging-diagnostic-tools,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-47698.pdf,,,,,,,,,,Hannah  Friedman|Mary Ann  Piette,
"
          Comparison of Chiller Models for use in Model-Based Fault Detection        ",,proceedings,,2001,,https://eta-publications.lbl.gov/publications/comparison-chiller-models-use-model,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/48149.pdf,,,,,,,,,,Priya  Sreedharan|Philip  Haves,
"
          Comparative Guide to Emerging Diagnostic Tools for Large Commercial HVAC Systems        ",,report,,2001,,https://eta-publications.lbl.gov/publications/comparative-guide-emerging-diagnostic,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-48629.pdf,,,,,,,,,,Hannah  Friedman|Mary Ann  Piette,
"
          Cleanroom Energy Benchmarking Results        ",,conference-paper,,2001,,https://eta-publications.lbl.gov/publications/cleanroom-energy-benchmarking-results,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-50219.pdf,,,,,,,,,,William F Tschudi|Tengfang T Xu,
"
          Cleanroom Energy Programming Guide - An Energy Efficiency Guide for Use in Cleanroom Programming        ",,report,,2001,,https://eta-publications.lbl.gov/publications/cleanroom-energy-programming-guide,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-49223.pdf,,,,,,,,,,William F Tschudi|Tengfang T Xu|Dale A Sartor,
"
          Cleanroom Energy Benchmarking in High-Tech and Biotech Industries        ",,conference-paper,,2001,,https://eta-publications.lbl.gov/publications/cleanroom-energy-benchmarking-high,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/47729.pdf,,,,,,,,,,William F Tschudi|Kathleen  Benschine|Stephen  Fok|Peter  Rumsey,
"
          Clean Energy Funds: An Overview of State Support for Renewable Energy        ",,report,,2001,,https://eta-publications.lbl.gov/publications/clean-energy-funds-overview-state,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/report-lbnl-47705.pdf,,,,,,,,,,Mark  Bolinger|Ryan H Wiser|Lewis  Milford|Michael  Stoddard|Kevin  Porter,
"
          Chiller Controls Energy Saving Opportunities in Federal Facilities        ",,report,,2001,,https://eta-publications.lbl.gov/publications/chiller-controls-energy-saving,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-47649.pdf,,,,,,,,,,Thomas L Webster,
"
          Characterizing the fabric of the urban environment: a case study of Salt Lake City, Utah        ",,report,,2001,,https://eta-publications.lbl.gov/publications/characterizing-fabric-urban-0,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-47851.pdf,,,,,,,,,,Hashem  Akbari|Leanna S Rose,
"
          Development of Chinese Weather Data for Building Energy Calculations        ",,report,,2001,,https://eta-publications.lbl.gov/publications/development-chinese-weather-data,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbl-51435-weather-data-building-energy2001.pdf,,,,,,,,,,Zhang  Qingyuan|Yu Joe Huang|Lang  Siwei,
"
          Development of China's Energy-Efficiency Design Standard for Residential Buildings in the ""Hot-Summer/Cold-Winter"" Zone        ",,report,,2001,,https://eta-publications.lbl.gov/publications/development-chinas-energy-efficiency,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbl-building-ee-standards2001.pdf,,,,,,,,,,John  Hogan|Robert  Watson|Yu Joe Huang|Lang  Siwei|Xiangzhao  Fu|Lin  Haiyin,
"
          Development of a New Duct leakage Test: Delta Q        ",,report,,2001,,https://eta-publications.lbl.gov/publications/development-new-duct-leakage-test,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-47308.pdf,,,,,,,,,,Iain S Walker|Max H Sherman|Jacob  Wempen|Duo  Wang|Jennifer A McWilliams|Darryl J Dickerhoff,
"
          Evaluating the Performance of Building Thermal Mass Control Strategies        ",,article,,2001,,https://eta-publications.lbl.gov/publications/evaluating-performance-building-0,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/409braun-october.pdf,,,,,,,,,,James E Braun|Kent  Montgomery|Nitin  Chaturvedi,
"
          Evaluating the long-term effectiveness of the Phoenix IM240 program        ",,article,,2001,,https://eta-publications.lbl.gov/publications/evaluating-long-term-effectiveness,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbl_48008.pdf,,,,,,,,,,Thomas P Wenzel,https://dx.doi.org/10.1016/S1462-9011(01)00033-8
"
          Energy-Efficiency Labels and Standards: A Guidebook for Appliances, Equipment and Lighting        ",,report,,2001,,https://eta-publications.lbl.gov/publications/energy-efficiency-labels-and-0,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/energy_efficiency_labels_and_standards_a_guidebook_for_appliances_equipment_and_lighting_lbnl-45387.pdf,,,,,,,,,,James E McMahon|Stephen  Wiel,
"
          Energy Use and Carbon Dioxide Emissions in the Steel Sector in Key Developing Countries        ",,report,,2001,,https://eta-publications.lbl.gov/publications/energy-use-and-carbon-dioxide-1,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-46987.pdf,,,,,,,,,,Lynn K Price|Dian  Phylipsen|Ernst  Worrell,
"
          Energy Use and Carbon Dioxide Emissions from Steel Production in China        ",,report,,2001,,https://eta-publications.lbl.gov/publications/energy-use-and-carbon-dioxide,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-47205-steel-co2may-2001.pdf,,,,,,,,,,Lynn K Price|Jonathan E Sinton|Ernst  Worrell|Dian  Phylipsen|Hu  Xiulian|Li  Ji,
"
          Energy savings and structural changes in the U.S. economy: Evidence from disaggregated data using decomposition techniques        ",,report,,2001,,https://eta-publications.lbl.gov/publications/energy-savings-and-structural-changes,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-48786.pdf,,,,,,,,,,Scott  Murtishaw|Leon J Schipper,
"
          IBECS Network/Ballast Interface - Final Report        ",,report,,2001,,https://eta-publications.lbl.gov/publications/ibecs-networkballast-interface-final,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-49973.pdf,,,,,,,,,,Francis M Rubinstein|Pete  Pettler,
"
          High-Tech Buildings - Market Transformation Project        ",,report,,2001,,https://eta-publications.lbl.gov/publications/high-tech-buildings-market,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/49112.pdf,,,,,,,,,,Tengfang T Xu|William F Tschudi|Geoffrey C Bell|Evan  Mills|Dale A Sartor,
"
          Heat Recovery in Building Envelopes        ",,proceedings,,2001,,https://eta-publications.lbl.gov/publications/heat-recovery-building-envelopes-0,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/heat_recovery_in_building_envelopes_lbnl-47329.pdf,,,,,,,,,,Max H Sherman|Iain S Walker,
"
          A Guide to China’s Energy Statistics        ",,report,,2001,,https://eta-publications.lbl.gov/publications/guide-china-s-energy-statistics,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbl-49024-energy-statistics-guideapril-2001.pdf,,,,,,,,,,Jonathan E Sinton|David  Fridley,
"
          Lighting Retrofit Workbook        ",,report,,2001,,https://eta-publications.lbl.gov/publications/lighting-retrofit-workbook,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lighting-retrofit-workbook.pdf,,,,,,,,,,Michael J Siminovitch|Richard C Diamond|Jeffrey C Mitchell|Erik  Page|Kevin W Gauna|Laura  McLaughlin|Doug A Avery,
"
          Lest We Forget, a Short History of Housing in the United States        ",,report,,2001,,https://eta-publications.lbl.gov/publications/lest-we-forget-short-history-housing,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lest_we_forget_a_short_history_of_housing_in_the_united_states_lbnl-4751e.pdf,,,,,,,,,,James D Lutz,
"
          An Overview of the U.S. Building Stock        ",,chapter,,2001,,https://eta-publications.lbl.gov/publications/overview-us-building-stock,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-43640.pdf,,,,,,,,,,Richard C Diamond,
"
          Revisiting the “Buy versus Build” Decision for Publicly Owned Utilities in California Considering Wind and Geothermal Resources        ",,report,,2001,,https://eta-publications.lbl.gov/publications/revisiting-buy-versus-build-decision,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/report-48831.pdf,,,,,,,,,,Mark  Bolinger|Ryan H Wiser|William H Golove,
"
          The Renewables Portfolio Standard in Texas: An Early Assessment        ",,report,,2001,,https://eta-publications.lbl.gov/publications/renewables-portfolio-standard-texas,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/report-lbnl-49107.pdf,,,,,,,,,,Ryan H Wiser|Ole  Langniss,
"
          Reliability of the U.S. Electricity System: Recent Trends and Current Issues        ",,report,,2001,,https://eta-publications.lbl.gov/publications/reliability-us-electricity-system,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/report-lbnl-47043.pdf,,,,,,,,,,Julie G Osborn|Cornelia  Kawann,
