artifact__title,artifact__summary,artifact__type,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__publication_place,artifact__publisher,artifact__tags,collection__uuid,file__content_type,file__name,file__media_type,file__uuid,file__url,file__language,file__fulltext_s3_url,file__fulltext_paginated_s3_url,file__toc,file__viewer_settings,file__size,file__pages,file__key_terms,file__file_hash,artifact__people_author,atrifact__doi
"
          Surrogate modelling for urban building energy simulation based on the bidirectional long short-term memory model        ",,article,,2024,,https://eta-publications.lbl.gov/publications/surrogate-modelling-urban-building,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/surrogate_modelling_for_urban_building_energy_simulation_based_on_the_bidirectional_long_short-term_memory_model.pdf,,,,,,,,,,Xiyu  Pan|Yujie  Xu|Tianzhen  Hong,https://dx.doi.org/10.1080/19401493.2024.2359985
"
          A Strategic Condition Framework for Energy Innovation        ",,report,,2024,,https://eta-publications.lbl.gov/publications/strategic-condition-framework-energy,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/strategic_condition_framework_for_energy_innovation_eispark1.pdf,,,,,,,,,,Margaret  Taylor|K. Sydny  Fujita|Jingjing  Zhang|Hung-Chia  Yang|Sarah K Price|David  Jacobowitz,
"
          Are You Philanthropy-Ready? How to Work with Foundations on Mission-Aligned Community Solar        ",,report,,2023,,https://eta-publications.lbl.gov/publications/are-you-philanthropy-ready-how-work,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/philanthropy_ready_guide_final_jan_2023.pdf,,,,,,,,,,Bentham  Paulos|Juliana  Williams,
"
          Comparison of Fast Daylighting Climate-Based Simulation Methods for Parametric Design: Two-Phase, Three-Phase Method and Path Tracing        ",,article,,2023,,https://eta-publications.lbl.gov/publications/comparison-fast-daylighting-climate,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/comparison_of_fast_daylighting_climate-based_simulation_methods_for_parametric_design_two-phase_three-phase_method_and_path_tracing.pdf,,,,,,,,,,Natália  Queiroz|Luis L Fernandes|Fernando OscarRutt Pereira,https://dx.doi.org/10.1080/17452007.2023.2287643
"
          Comparative Study and Validation of Photovoltaic Model Formulations for the IBPSA Modelica Library based on Rooftop Measurement Data        ",power systems (PV). For such interdisciplinary ,conference-paper,,2023,,https://eta-publications.lbl.gov/publications/comparative-study-and-validation,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/maier-comparative_study_and_validation_of_photovoltaic_model_formulations-201_a_3.pdf,,,,,,,,,,Laura  Maier|Christoph  Nytsch-Geusen|Lucas  Westermann|Kushagra  Mathur|Michael  Wetter|Dirk  Muller,
"
          Community Centered Solar Development (CCSD) Study Interviews        ",,report,,2023,,https://eta-publications.lbl.gov/publications/community-centered-solar-development,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/ccsd_case_studies_summary_june_2023.pdf,,,,,,,,,,Doug  Bessette|Joseph  Rand|Ben  Hoen|Karl  Hoesch|Jake  White|Sarah  Mills|Robi  Nilson,
"
          Commercial Wind Turbines and Residential Home Values:  New Evidence from the Universe of Land-Based Wind Projects in the United States        ","We examine the impact of proximity to land-based commercial wind turbines on residential home values in the United States using data on the universe of commercial wind turbines and residential property transactions from 2005 to 2020. Using event study and difference-in-differences identification strategies we find that, on average, homes located within 1 mile of a commercial wind turbine experience approximately an 11% decline in value following the announcement of a new commercial wind energy project, relative to counterfactual homes located 3 to 5 miles away. Event study estimates also reveal important dynamics in the evolution of home values, with property values first declining following project announcement, and then recovering post project construction, with property value impacts becoming relatively small (~ 2%) and statistically insignificant 9 years or more after project announcement (roughly 5 years after operation began). Homes located within 1 to 2 miles of a commercial wind turbine experience much smaller impacts and homes located farther than 2 miles away are unaffected. Our results are primarily driven by wind projects located in ""urban"" counties in metro areas with populations greater than 250,000.",article,,2023,,https://eta-publications.lbl.gov/publications/commercial-wind-turbines-and,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/1-s2.0-s0301421523004226-main.pdf,,,,,,,,,,Eric  Brunner|Ben  Hoen|Joseph  Rand|David  Schwegman,https://dx.doi.org/10.1016/j.enpol.2023.113837
"
          Distribution Grid Impacts of Community Solar        ",,report,,2023,,https://eta-publications.lbl.gov/publications/distribution-grid-impacts-community,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbl_cs_grid_impacts_final_09.01.23_v3.pdf,,,,,,,,,,Miguel  Heleno|Juan Pablo Carvallo|Alan  Valenzuela|Greg  Leventis|Cesca  Miller|Jeff  Deason,
"
          Distribution and Grid Modernization Planning to Accelerate Deployment of Distributed Energy Resources        ","In a webinar for the NARUC-NASEO Distributed Energy Resources (DER) Integration and Compensation Initiative, Lisa Schwartz presented a national perspective on trends and challenges states are facing to accelerate DER deployment in the context of grid modernization. Topics include DER-related distribution planning elements, including forecasting, hosting capacity analysis, non-wires alternatives analysis, geotargeting DER programs, grid modernization strategy, and pilots.",presentation-lecture,,2023,,https://eta-publications.lbl.gov/publications/distribution-and-grid-modernization,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/naruc-naseo_der_ic_presentation_20230413.pdf,,,,,,,,,,Lisa C Schwartz,
"
          Factors Influencing Building Demand Flexibility        ","The U.S. Department of Energy’s National Roadmap for Grid-interactive Efficient Buildings (GEB) acknowledged that building demand flexibility (DF) is both an important strategy to decarbonizing the buildings sector and an important resource for meeting the changing needs of the electrical grid such as improving grid reliability. However, understanding the complexity and uncertainties in real building field performance of DF strategies is a large gap hindering stakeholders on both grid and buildings side to make investments on deploying such strategies. The research work in this report intended to advance understanding of the variability and influential factors in building demand flexibility. Adding such knowledge based on lab testing results and measured performance data from real buildings is an important contribution. The report uses standardized metrics and methods to quantify DF performance from field-measured DF datasets of two significant building groups of big-box retail and medium office buildings to present the challenge of building DF variability in multiple dimensions. The report presents findings related to how several key factors influence building demand flexibility from implementing a common, cost-effective DF control strategy (i.e., adjusting zone temperatures). The findings are supported by full-scale lab testing, field data analysis and simulation research. The authors also provided application-oriented recommendations to stakeholders such as building aggregators, utility program design professionals, sophisticated building portfolio owners, and more.",report,,2023,,https://eta-publications.lbl.gov/publications/factors-influencing-building-demand,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/factors_influencing_building_deman_flexibility.pdf,,,,,,,,,,Jingjing  Liu|Lili  Yu|Rongxin  Yin|Mary Ann  Piette|Marco  Pritoni|Armando  Casillas|Peter  Schwartz,https://dx.doi.org/10.20357/B71882
