uri,organization,collection,title,identifier,date_circa,authors,file_url,date_harvest,date_published,publisher,publication_place,props_Source,rights,rights_uri,rights_holder,tags,thumbnail_url,owner,last_modified,status,type,project,ingestion_status,ingestion_notes,ingested_url,ingested_on,subsets,language,country,series,Bucket
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/understanding-the-journeys-from-work-to-employment-and-support-allowance,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,Understanding the journeys from work to Employment and Support Allowance,,,,,,2014-07-16,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/health-and-wellbeing-at-work-survey-of-employees,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,Health and wellbeing at work: survey of employees,,,,,,2014-07-15,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/child-poverty-transitions-exploring-the-routes-into-and-out-of-poverty,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,Child poverty transitions: exploring the routes into and out of poverty 2009 to 2012,,,,,,2014-06-26,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/fit-for-work-service-pilots-2010-to-2013-final-evaluation-report,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,Fit for Work Service pilots 2010 to 2013: final evaluation report,,,,,,2014-03-12,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/automatic-enrolment-qualitative-research-with-employers-staging-in-2014,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,Automatic enrolment: qualitative research with employers staging in 2014,,,,,,2014-01-09,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/work-programme-evaluation-day-one-mandation-of-prison-leavers,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,Work Programme evaluation: 'day one mandation' of prison leavers,,,,,,2013-12-05,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/work-programme-evaluation-operation-of-the-commissioning-model-finance-and-programme-delivery,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,"Work Programme evaluation: operation of the commissioning model, finance and programme delivery",,,,,,2013-11-08,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/work-programme-evaluation-participant-experience,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,Work Programme evaluation: participant experience,,,,,,2013-10-10,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/direct-payment-demonstration-projects-final-reports,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,Direct Payment Demonstration Projects: final reports,,,,,,2013-07-12,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/benefit-cap-evaluation,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,Benefit cap evaluation,,,,,,2013-07-04,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
